Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 9175   197.075  0.0215  0.0255   0.000   0.215   0.284  9173     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 7956   518.678  0.0652  0.1029   0.001   1.643   1.734  7956     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 2962   254.921  0.0861  0.1658   0.001   1.688   1.730  2960     0    2    0     1560206          0        526       1149  GET /api/contestant/benchmark_jobs HTTP/2
 2952   357.998  0.1213  0.1831   0.000   1.720   1.757  2950     0    2    0   122833488         61      41610      50512  GET /api/contestant/dashboard HTTP/2
 2766    32.930  0.0119  0.0160   0.000   0.099   0.101  2766     0    0    0    28814849       7102      10417      11447  GET /api/audience/dashboard HTTP/2
 2364    37.810  0.0160  0.0226   0.000   0.124   0.124  2364     0    0    0    97000403       2473      41032     105858  get /packs/.*
 1976    19.319  0.0098  0.0161   0.000   0.103   0.112   672  1304    0    0      772800          0        391       1150  GET /favicon.ico HTTP/2
 1680    94.482  0.0562  0.0905   0.000   0.521   1.716  1680     0    0    0      640840        123        381        578  GET /api/session HTTP/2
 1081  2087.982  1.9315  2.0496   0.006  13.603  14.234  1081     0    0    0       30901          5         28         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  591     9.896  0.0167  0.0237   0.000   0.102   0.102   105   486    0    0       41055          0         69        391  GET /contestant/clarifications HTTP/2
  539    80.157  0.1487  0.1885   0.001   1.753   1.753   537     0    2    0     1274522          0       2364       4944  GET /api/contestant/clarifications HTTP/2
  477    15.711  0.0329  0.0301   0.000   0.082   0.082   240   237    0    0       93840          0        196        391  GET /contestant HTTP/2
  377     2.481  0.0066  0.0094   0.000   0.049   0.049   376     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  376     2.310  0.0061  0.0082   0.000   0.030   0.030   375     1    0    0      145875          0        387        389  GET /signup HTTP/2
  360     5.283  0.0147  0.0123   0.001   0.068   0.068   360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  349    17.904  0.0513  0.0624   0.001   0.375   0.375   344     0    5    0       20087         55         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  307    23.205  0.0756  0.0795   0.001   0.353   0.353   305     0    2    0       83744         61        272        310  get /api/contestant/benchmark_jobs/:id
  299     3.254  0.0109  0.0114   0.000   0.087   0.087   299     0    0    0      116311        389        389        389  GET / HTTP/2
  244     2.160  0.0089  0.0120   0.001   0.116   0.116   242     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  244     0.541  0.0022  0.0045   0.000   0.031   0.031   244     0    0    0       94916        389        389        389  get /registration?
  178    18.241  0.1025  0.0592   0.000   0.207   0.207   176     0    2    0       68247         61        383        423  get /api/admin/clarifications/:id
  178    23.400  0.1315  0.1093   0.001   0.358   0.358   176     0    2    0       68241         61        383        423  POST /api/contestant/clarifications HTTP/2
  169    86.118  0.5096  0.2252   0.000   1.081   1.081   167     0    2    0       73814         61        436        495  put /api/admin/clarifications/:id
  132     2.701  0.0205  0.0171   0.001   0.081   0.081   121     0   11    0        1003          2          7         91  POST /api/registration/team HTTP/2
  121     4.468  0.0369  0.0210   0.002   0.081   0.081   121     0    0    0       58809        437        486        516  GET /api/registration/session HTTP/2
   43     0.777  0.0181  0.0607   0.001   0.366   0.366    41     0    2    0      108094          0       2513      73132  GET /api/admin/clarifications HTTP/2
   41     0.124  0.0030  0.0092   0.000   0.056   0.056     1    40    0    0         386          0          9        386  GET /admin/clarifications HTTP/2
    4     0.004  0.0010  0.0000   0.001   0.001   0.001     2     0    2    0         274          0         68        137  POST /api/login HTTP/2
    2     0.236  0.1180  0.0080   0.110   0.126   0.126     2     0    0    0          56         28         28         28  POST /initialize HTTP/2

Top 50 Sort By Total
Count     Total    Mean  Stddev     Min   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1081  2087.982  1.9315  2.0496   0.006  13.603  14.234  1081     0    0    0       30901          5         28         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 7956   518.678  0.0652  0.1029   0.001   1.643   1.734  7956     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 2952   357.998  0.1213  0.1831   0.000   1.720   1.757  2950     0    2    0   122833488         61      41610      50512  GET /api/contestant/dashboard HTTP/2
 2962   254.921  0.0861  0.1658   0.001   1.688   1.730  2960     0    2    0     1560206          0        526       1149  GET /api/contestant/benchmark_jobs HTTP/2
 9175   197.075  0.0215  0.0255   0.000   0.215   0.284  9173     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 1680    94.482  0.0562  0.0905   0.000   0.521   1.716  1680     0    0    0      640840        123        381        578  GET /api/session HTTP/2
  169    86.118  0.5096  0.2252   0.000   1.081   1.081   167     0    2    0       73814         61        436        495  put /api/admin/clarifications/:id
  539    80.157  0.1487  0.1885   0.001   1.753   1.753   537     0    2    0     1274522          0       2364       4944  GET /api/contestant/clarifications HTTP/2
 2364    37.810  0.0160  0.0226   0.000   0.124   0.124  2364     0    0    0    97000403       2473      41032     105858  get /packs/.*
 2766    32.930  0.0119  0.0160   0.000   0.099   0.101  2766     0    0    0    28814849       7102      10417      11447  GET /api/audience/dashboard HTTP/2
  178    23.400  0.1315  0.1093   0.001   0.358   0.358   176     0    2    0       68241         61        383        423  POST /api/contestant/clarifications HTTP/2
  307    23.205  0.0756  0.0795   0.001   0.353   0.353   305     0    2    0       83744         61        272        310  get /api/contestant/benchmark_jobs/:id
 1976    19.319  0.0098  0.0161   0.000   0.103   0.112   672  1304    0    0      772800          0        391       1150  GET /favicon.ico HTTP/2
  178    18.241  0.1025  0.0592   0.000   0.207   0.207   176     0    2    0       68247         61        383        423  get /api/admin/clarifications/:id
  349    17.904  0.0513  0.0624   0.001   0.375   0.375   344     0    5    0       20087         55         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  477    15.711  0.0329  0.0301   0.000   0.082   0.082   240   237    0    0       93840          0        196        391  GET /contestant HTTP/2
  591     9.896  0.0167  0.0237   0.000   0.102   0.102   105   486    0    0       41055          0         69        391  GET /contestant/clarifications HTTP/2
  360     5.283  0.0147  0.0123   0.001   0.068   0.068   360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  121     4.468  0.0369  0.0210   0.002   0.081   0.081   121     0    0    0       58809        437        486        516  GET /api/registration/session HTTP/2
  299     3.254  0.0109  0.0114   0.000   0.087   0.087   299     0    0    0      116311        389        389        389  GET / HTTP/2
  132     2.701  0.0205  0.0171   0.001   0.081   0.081   121     0   11    0        1003          2          7         91  POST /api/registration/team HTTP/2
  377     2.481  0.0066  0.0094   0.000   0.049   0.049   376     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  376     2.310  0.0061  0.0082   0.000   0.030   0.030   375     1    0    0      145875          0        387        389  GET /signup HTTP/2
  244     2.160  0.0089  0.0120   0.001   0.116   0.116   242     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
   43     0.777  0.0181  0.0607   0.001   0.366   0.366    41     0    2    0      108094          0       2513      73132  GET /api/admin/clarifications HTTP/2
  244     0.541  0.0022  0.0045   0.000   0.031   0.031   244     0    0    0       94916        389        389        389  get /registration?
    2     0.236  0.1180  0.0080   0.110   0.126   0.126     2     0    0    0          56         28         28         28  POST /initialize HTTP/2
   41     0.124  0.0030  0.0092   0.000   0.056   0.056     1    40    0    0         386          0          9        386  GET /admin/clarifications HTTP/2
    4     0.004  0.0010  0.0000   0.001   0.001   0.001     2     0    2    0         274          0         68        137  POST /api/login HTTP/2

Top 50 Sort By Mean
Count     Total    Mean  Stddev     Min   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1081  2087.982  1.9315  2.0496   0.006  13.603  14.234  1081     0    0    0       30901          5         28         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  169    86.118  0.5096  0.2252   0.000   1.081   1.081   167     0    2    0       73814         61        436        495  put /api/admin/clarifications/:id
  539    80.157  0.1487  0.1885   0.001   1.753   1.753   537     0    2    0     1274522          0       2364       4944  GET /api/contestant/clarifications HTTP/2
  178    23.400  0.1315  0.1093   0.001   0.358   0.358   176     0    2    0       68241         61        383        423  POST /api/contestant/clarifications HTTP/2
 2952   357.998  0.1213  0.1831   0.000   1.720   1.757  2950     0    2    0   122833488         61      41610      50512  GET /api/contestant/dashboard HTTP/2
    2     0.236  0.1180  0.0080   0.110   0.126   0.126     2     0    0    0          56         28         28         28  POST /initialize HTTP/2
  178    18.241  0.1025  0.0592   0.000   0.207   0.207   176     0    2    0       68247         61        383        423  get /api/admin/clarifications/:id
 2962   254.921  0.0861  0.1658   0.001   1.688   1.730  2960     0    2    0     1560206          0        526       1149  GET /api/contestant/benchmark_jobs HTTP/2
  307    23.205  0.0756  0.0795   0.001   0.353   0.353   305     0    2    0       83744         61        272        310  get /api/contestant/benchmark_jobs/:id
 7956   518.678  0.0652  0.1029   0.001   1.643   1.734  7956     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 1680    94.482  0.0562  0.0905   0.000   0.521   1.716  1680     0    0    0      640840        123        381        578  GET /api/session HTTP/2
  349    17.904  0.0513  0.0624   0.001   0.375   0.375   344     0    5    0       20087         55         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  121     4.468  0.0369  0.0210   0.002   0.081   0.081   121     0    0    0       58809        437        486        516  GET /api/registration/session HTTP/2
  477    15.711  0.0329  0.0301   0.000   0.082   0.082   240   237    0    0       93840          0        196        391  GET /contestant HTTP/2
 9175   197.075  0.0215  0.0255   0.000   0.215   0.284  9173     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
  132     2.701  0.0205  0.0171   0.001   0.081   0.081   121     0   11    0        1003          2          7         91  POST /api/registration/team HTTP/2
   43     0.777  0.0181  0.0607   0.001   0.366   0.366    41     0    2    0      108094          0       2513      73132  GET /api/admin/clarifications HTTP/2
  591     9.896  0.0167  0.0237   0.000   0.102   0.102   105   486    0    0       41055          0         69        391  GET /contestant/clarifications HTTP/2
 2364    37.810  0.0160  0.0226   0.000   0.124   0.124  2364     0    0    0    97000403       2473      41032     105858  get /packs/.*
  360     5.283  0.0147  0.0123   0.001   0.068   0.068   360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
 2766    32.930  0.0119  0.0160   0.000   0.099   0.101  2766     0    0    0    28814849       7102      10417      11447  GET /api/audience/dashboard HTTP/2
  299     3.254  0.0109  0.0114   0.000   0.087   0.087   299     0    0    0      116311        389        389        389  GET / HTTP/2
 1976    19.319  0.0098  0.0161   0.000   0.103   0.112   672  1304    0    0      772800          0        391       1150  GET /favicon.ico HTTP/2
  244     2.160  0.0089  0.0120   0.001   0.116   0.116   242     0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  377     2.481  0.0066  0.0094   0.000   0.049   0.049   376     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  376     2.310  0.0061  0.0082   0.000   0.030   0.030   375     1    0    0      145875          0        387        389  GET /signup HTTP/2
   41     0.124  0.0030  0.0092   0.000   0.056   0.056     1    40    0    0         386          0          9        386  GET /admin/clarifications HTTP/2
  244     0.541  0.0022  0.0045   0.000   0.031   0.031   244     0    0    0       94916        389        389        389  get /registration?
    4     0.004  0.0010  0.0000   0.001   0.001   0.001     2     0    2    0         274          0         68        137  POST /api/login HTTP/2

Top 50 Sort By Standard Deviation
Count     Total    Mean  Stddev     Min   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1081  2087.982  1.9315  2.0496   0.006  13.603  14.234  1081     0    0    0       30901          5         28         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  169    86.118  0.5096  0.2252   0.000   1.081   1.081   167     0    2    0       73814         61        436        495  put /api/admin/clarifications/:id
  539    80.157  0.1487  0.1885   0.001   1.753   1.753   537     0    2    0     1274522          0       2364       4944  GET /api/contestant/clarifications HTTP/2
 2952   357.998  0.1213  0.1831   0.000   1.720   1.757  2950     0    2    0   122833488         61      41610      50512  GET /api/contestant/dashboard HTTP/2
 2962   254.921  0.0861  0.1658   0.001   1.688   1.730  2960     0    2    0     1560206          0        526       1149  GET /api/contestant/benchmark_jobs HTTP/2
  178    23.400  0.1315  0.1093   0.001   0.358   0.358   176     0    2    0       68241         61        383        423  POST /api/contestant/clarifications HTTP/2
 7956   518.678  0.0652  0.1029   0.001   1.643   1.734  7956     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 1680    94.482  0.0562  0.0905   0.000   0.521   1.716  1680     0    0    0      640840        123        381        578  GET /api/session HTTP/2
  307    23.205  0.0756  0.0795   0.001   0.353   0.353   305     0    2    0       83744         61        272        310  get /api/contestant/benchmark_jobs/:id
