Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max   2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 9667  2198.120  0.2274  0.5852   0.002   6.537   7.195  9665    0    2    0       15633          0          1         61  GET /api/contestant/notifications HTTP/2
 7308  5642.901  0.7722  0.8324   0.021   7.564   9.176  7308    0    0    0       10978          0          1         45  get /api/contestant/notifications?.*
 3760    17.816  0.0047  0.0187   0.000   0.150   0.568  3760    0    0    0    33151610         85       8816       9730  GET /api/audience/dashboard HTTP/2
 2740  1829.260  0.6676  0.8612   0.003   8.409   8.760  2738    0    2    0      696811          0        254        616  GET /api/contestant/benchmark_jobs HTTP/2
 2492  1677.124  0.6730  0.4288   0.004   1.983   1.998  2490    0    2    0    20981543         57       8419       9367  GET /api/contestant/dashboard HTTP/2
 2112   135.177  0.0640  0.0829   0.000   0.473   0.505  2112    0    0    0    85773990       2473      40612     105858  get /packs/.*
 1321    62.703  0.0475  0.0757   0.000   0.574   0.577   594  727    0    0      683100          0        517       1150  GET /favicon.ico HTTP/2
 1119   540.354  0.4829  0.9067   0.000   8.076   9.014  1119    0    0    0      186987         47        167        367  GET /api/session HTTP/2
 1033  2529.640  2.4488  2.4088   0.006  14.953  14.973  1033    0    0    0       22221          5         21         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  394    17.811  0.0452  0.0513   0.001   0.334   0.334   393    0    1    0          66          0          0         66  POST /api/signup HTTP/2
  393    16.876  0.0429  0.0382   0.000   0.208   0.208   392    1    0    0       99176          0        252        253  GET /signup HTTP/2
  352    41.104  0.1168  0.0784   0.000   0.396   0.396   240  112    0    0       60720          0        172        253  GET /contestant HTTP/2
  244    14.631  0.0600  0.0391   0.002   0.227   0.227   242    0    2    0         131          0          0         77  POST /api/registration/contestant HTTP/2
  244     4.188  0.0172  0.0190   0.000   0.125   0.125   244    0    0    0       61732        253        253        253  get /registration?
  237    79.387  0.3350  0.5390   0.002   4.278   4.278   232    0    5    0       15888         57         67         93  POST /api/contestant/benchmark_jobs HTTP/2
  203   164.195  0.8088  1.1146   0.003   8.512   8.512   201    0    2    0       44058         57        217        267  get /api/contestant/benchmark_jobs/:id
  201     1.032  0.0051  0.0259   0.000   0.276   0.276   201    0    0    0       50853        253        253        253  GET / HTTP/2
  149    12.964  0.0870  0.0609   0.002   0.338   0.338   121    0   28    0        4383         22         29         74  POST /api/registration/team HTTP/2
  121    11.475  0.0948  0.0642   0.002   0.323   0.323   121    0    0    0       33503        258        276        302  GET /api/registration/session HTTP/2
   92   109.087  1.1857  0.9603   0.005   5.987   5.987    90    0    2    0       28254         57        307        347  POST /api/contestant/clarifications HTTP/2
   92    69.693  0.7575  0.7705   0.005   4.166   4.166    90    0    2    0         114          0          1         57  GET /api/contestant/clarifications HTTP/2
   90     9.685  0.1076  0.0528   0.017   0.158   0.158    90    0    0    0       22770        253        253        253  GET /contestant/clarifications HTTP/2
   41     0.502  0.0122  0.0238   0.000   0.118   0.118     1   40    0    0         252          0          6        252  GET /admin/clarifications HTTP/2
   40     2.559  0.0640  0.1910   0.001   0.949   0.949    38    0    2    0         118          0          2         61  GET /api/admin/clarifications HTTP/2
    4     0.004  0.0010  0.0000   0.001   0.001   0.001     2    0    2    0         186          0         46         93  POST /api/login HTTP/2
    2     0.006  0.0030  0.0020   0.001   0.005   0.005     0    0    2    0         118         57         59         61  put /api/admin/clarifications/:id
    2     0.188  0.0940  0.0040   0.090   0.098   0.098     2    0    0    0          92         46         46         46  POST /initialize HTTP/2
    2     0.009  0.0045  0.0005   0.004   0.005   0.005     0    0    2    0         118         57         59         61  get /api/admin/clarifications/:id

Top 50 Sort By Total
Count     Total    Mean  Stddev     Min   P99.9     Max   2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 7308  5642.901  0.7722  0.8324   0.021   7.564   9.176  7308    0    0    0       10978          0          1         45  get /api/contestant/notifications?.*
 1033  2529.640  2.4488  2.4088   0.006  14.953  14.973  1033    0    0    0       22221          5         21         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 9667  2198.120  0.2274  0.5852   0.002   6.537   7.195  9665    0    2    0       15633          0          1         61  GET /api/contestant/notifications HTTP/2
 2740  1829.260  0.6676  0.8612   0.003   8.409   8.760  2738    0    2    0      696811          0        254        616  GET /api/contestant/benchmark_jobs HTTP/2
 2492  1677.124  0.6730  0.4288   0.004   1.983   1.998  2490    0    2    0    20981543         57       8419       9367  GET /api/contestant/dashboard HTTP/2
 1119   540.354  0.4829  0.9067   0.000   8.076   9.014  1119    0    0    0      186987         47        167        367  GET /api/session HTTP/2
  203   164.195  0.8088  1.1146   0.003   8.512   8.512   201    0    2    0       44058         57        217        267  get /api/contestant/benchmark_jobs/:id
 2112   135.177  0.0640  0.0829   0.000   0.473   0.505  2112    0    0    0    85773990       2473      40612     105858  get /packs/.*
   92   109.087  1.1857  0.9603   0.005   5.987   5.987    90    0    2    0       28254         57        307        347  POST /api/contestant/clarifications HTTP/2
  237    79.387  0.3350  0.5390   0.002   4.278   4.278   232    0    5    0       15888         57         67         93  POST /api/contestant/benchmark_jobs HTTP/2
   92    69.693  0.7575  0.7705   0.005   4.166   4.166    90    0    2    0         114          0          1         57  GET /api/contestant/clarifications HTTP/2
 1321    62.703  0.0475  0.0757   0.000   0.574   0.577   594  727    0    0      683100          0        517       1150  GET /favicon.ico HTTP/2
  352    41.104  0.1168  0.0784   0.000   0.396   0.396   240  112    0    0       60720          0        172        253  GET /contestant HTTP/2
 3760    17.816  0.0047  0.0187   0.000   0.150   0.568  3760    0    0    0    33151610         85       8816       9730  GET /api/audience/dashboard HTTP/2
  394    17.811  0.0452  0.0513   0.001   0.334   0.334   393    0    1    0          66          0          0         66  POST /api/signup HTTP/2
  393    16.876  0.0429  0.0382   0.000   0.208   0.208   392    1    0    0       99176          0        252        253  GET /signup HTTP/2
  244    14.631  0.0600  0.0391   0.002   0.227   0.227   242    0    2    0         131          0          0         77  POST /api/registration/contestant HTTP/2
  149    12.964  0.0870  0.0609   0.002   0.338   0.338   121    0   28    0        4383         22         29         74  POST /api/registration/team HTTP/2
  121    11.475  0.0948  0.0642   0.002   0.323   0.323   121    0    0    0       33503        258        276        302  GET /api/registration/session HTTP/2
   90     9.685  0.1076  0.0528   0.017   0.158   0.158    90    0    0    0       22770        253        253        253  GET /contestant/clarifications HTTP/2
  244     4.188  0.0172  0.0190   0.000   0.125   0.125   244    0    0    0       61732        253        253        253  get /registration?
   40     2.559  0.0640  0.1910   0.001   0.949   0.949    38    0    2    0         118          0          2         61  GET /api/admin/clarifications HTTP/2
  201     1.032  0.0051  0.0259   0.000   0.276   0.276   201    0    0    0       50853        253        253        253  GET / HTTP/2
   41     0.502  0.0122  0.0238   0.000   0.118   0.118     1   40    0    0         252          0          6        252  GET /admin/clarifications HTTP/2
