Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
30529  2029.606  0.0665  0.1436   0.000   1.686   2.000  30529    0    0    0  1585642124       8842      51938      65279  GET /api/audience/dashboard HTTP/2
26814  5089.692  0.1898  0.7653   0.000   6.988   8.226  26814    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
13176    78.198  0.0059  0.0178   0.000   0.136   0.203  13174    0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 7461   685.131  0.0918  0.4469   0.000   6.059   6.487   7461    0    0    0   334579306       2473      44843     105858  get /packs/.*
 6910  1508.152  0.2183  0.7354   0.000   6.987   8.202   6908    0    2    0    19705085          0       2851      15151  GET /api/contestant/benchmark_jobs HTTP/2
 6431   932.350  0.1450  0.5794   0.000   5.918   6.986   6431    0    0    0     3203257        123        498        578  GET /api/session HTTP/2
 5977  2233.447  0.3737  0.4177   0.000   2.012   2.025   5975    0    2    0   658707756         61     110207     159502  GET /api/contestant/dashboard HTTP/2
 3428   689.828  0.2012  0.6622   0.000   6.056   6.061   3426    0    2    0    21192767          0       6182      12813  GET /api/contestant/clarifications HTTP/2
 2350   179.674  0.0765  0.4740   0.000   6.498   8.201   2350    0    0    0     2702500       1150       1150       1150  GET /favicon.ico HTTP/2
 2090   859.275  0.4111  0.9155   0.001   8.182   8.475   1990    0  100    0      123243         54         58        127  POST /api/contestant/benchmark_jobs HTTP/2
 2010  5885.751  2.9282  2.4602   0.157  10.634  10.707   2010    0    0    0      160063         78         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1970   449.856  0.2284  0.9356   0.000   8.201   8.226   1968    0    2    0      545241         61        276        313  get /api/contestant/benchmark_jobs/:id
 1963   167.715  0.0854  0.3931   0.000   5.539   6.986   1963    0    0    0      496639        253        253        253  GET / HTTP/2
  504   197.660  0.3922  1.0340   0.000   5.880   5.880    502    0    2    0      194751         61        386        434  POST /api/contestant/clarifications HTTP/2
  452    22.767  0.0504  0.0426   0.000   0.302   0.302    450    0    2    0      174717         61        386        434  get /api/admin/clarifications/:id
  398     3.333  0.0084  0.0073   0.000   0.038   0.038    397    0    1    0          77          0          0         77  POST /api/signup HTTP/2
  396     4.554  0.0115  0.0094   0.000   0.036   0.036    396    0    0    0      100188        253        253        253  GET /signup HTTP/2
  390     4.655  0.0119  0.0099   0.001   0.042   0.042    390    0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  372  1277.639  3.4345  2.1864   0.000   6.045   6.045    370    0    2    0      163342         61        439        497  put /api/admin/clarifications/:id
  264     0.992  0.0038  0.0056   0.000   0.030   0.030    264    0    0    0       66792        253        253        253  get /registration?
  264     6.188  0.0234  0.0158   0.002   0.085   0.085    262    0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  260    24.243  0.0932  0.0265   0.010   0.132   0.132    260    0    0    0       65780        253        253        253  GET /contestant HTTP/2
  133     5.736  0.0431  0.0208   0.001   0.104   0.104    131    0    2    0         423          2          3         91  POST /api/registration/team HTTP/2
  131     2.632  0.0201  0.0121   0.001   0.043   0.043    131    0    0    0       63896        434        487        518  GET /api/registration/session HTTP/2
  130     2.773  0.0213  0.0199   0.000   0.171   0.171    130    0    0    0       32890        253        253        253  GET /contestant/clarifications HTTP/2
   65     2.505  0.0385  0.1812   0.000   1.458   1.458     63    0    2    0      645363          0       9928     194661  GET /api/admin/clarifications HTTP/2
    4     0.004  0.0010  0.0000   0.001   0.001   0.001      2    0    2    0         274          0         68        137  POST /api/login HTTP/2
    2     0.256  0.1280  0.0120   0.116   0.140   0.140      2    0    0    0          56         28         28         28  POST /initialize HTTP/2
    1     0.000  0.0000  0.0000   0.000   0.000   0.000      1    0    0    0         252        252        252        252  GET /admin/clarifications HTTP/2

Top 50 Sort By Total
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 2010  5885.751  2.9282  2.4602   0.157  10.634  10.707   2010    0    0    0      160063         78         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
26814  5089.692  0.1898  0.7653   0.000   6.988   8.226  26814    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 5977  2233.447  0.3737  0.4177   0.000   2.012   2.025   5975    0    2    0   658707756         61     110207     159502  GET /api/contestant/dashboard HTTP/2
30529  2029.606  0.0665  0.1436   0.000   1.686   2.000  30529    0    0    0  1585642124       8842      51938      65279  GET /api/audience/dashboard HTTP/2
